"MLS #","Status","Address","City","Zip Code","Current Price","Year Built","Tax Assessed Value","Above Grade Finished SQFT","Status Contractual Search Date","Beds","Baths","Price/SqFt","RATIO Close Price By List Price"
"VALO432838","CLS","24915 Virginia Juniper Ct","Aldie","20105","$909,530","2021","$909,530.00","3,500","03/11/21","4","4/1","$259.87","1.00000"
"VALO430058","CLS","24810 Lenah Crossing Dr","Aldie","20105","$865,123","0","$210,900.00","0","01/25/21","5","5","","1.05891"
"VALO435576","CLS","24269 Basket Willow Ln","Aldie","20105","$1,099,999","2019","$932,070.00","3,802","01/13/21","5","4/1","$289.32","1.36817"
"VALO428892","CLS","24818 Lenah Crossing Dr","Aldie","20105","$906,708","2020","$800,000.00","3,697","12/23/20","5","4/1","$245.26","1.00000"
"VALO419036","CLS","40912 Arcadian Pond Ct","Aldie","20105","$890,312","2020","$890,312.00","3,800","08/11/20","6","5","$234.29","1.00000"
"VALO417716","CLS","24874 Chapman Grove Way","Aldie","20105","$852,020","2020","$0.00","3,400","07/28/20","4","4/1","$250.59","1.00000"
"VALO418822","CLS","24350 Indian Bean Ct","Aldie","20105","$855,505","0","$157,000.00","0","07/28/20","4","4/1","","1.00000"
"VALO416708","CLS","25028 Striped Maple Dr","Aldie","20105","$724,950","2020","$0.00","0","07/17/20","5","4","","1.00000"
"VALO414566","CLS","24854 Hogue Creek Ct","Aldie","20105","$847,030","0","$184,700.00","0","06/18/20","5","4/1","","1.00000"
"VALO413816","CLS","24886 Lenah Crossing Dr","Aldie","20105","$761,345","2020","$0.00","0","06/10/20","4","3/1","","1.00000"
"VALO407568","CLS","40950 Bruzzo Woods Ct","Aldie","20105","$890,775","2020","$1.00","3,700","03/27/20","5","4/1","$240.75","1.00000"
"VALO412156","CLS","25608 Wyndham Point Ct","Aldie","20105","$943,622","2020","$0.00","0","03/19/20","5","4/1","","1.00000"
"VALO406322","CLS","25200 Lotus Pond Pl","Aldie","20105","$1,178,740","2020","$288,200.00","0","03/12/20","4","5/1","","1.00000"
"VALO399918","CLS","40754 Yarrow Grove Place","Aldie","20105","$956,160","2019","$950,000.00","4,200","12/11/19","6","6/1","$227.66","1.00000"
"VALO399128","CLS","40790 Yarrow Grove Pl","Aldie","20105","$811,360","2019","$0.00","4,023","11/19/19","6","4/1","$201.68","1.00000"
"VALO396784","CLS","24547 Mountain Magnolia Pl","Aldie","20105","$747,212","0","$208,800.00","0","10/03/19","4","4/1","","1.00000"
"VALO396074","CLS","24275 Shinyleaf Ct","Aldie","20105","$850,839","0","$157,000.00","3,343","10/02/19","5","4/1","$254.51","1.06368"
"VALO400522","CLS","24851 Hogue Creek Ct","Aldie","20105","$815,335","2019","$185,300.00","4,162","09/30/19","5","5/1","$195.90","1.00000"
"VALO400772","CLS","40730 Willow Walk Ct","Aldie","20105","$915,944","2019","$288,200.00","3,817","09/23/19","4","5","$239.96","1.00000"
"VALO394694","CLS","23377 Pin Cherry Ln","Aldie","20105","$860,000","0","$292,000.00","0","09/12/19","4","4/1","","1.00000"
"VALO405106","CLS","40928 Munson Woods Pl","Aldie","20105","$787,880","2019","$184,900.00","4,032","09/10/19","5","4/1","$195.41","1.00000"
"VALO394390","CLS","25160 Lotus Pond Pl","Aldie","20105","$916,119","0","$288,600.00","3,520","09/04/19","5","4/1","$260.26","1.06525"
"VALO400776","CLS","40999 Cutleaf Ln","Aldie","20105","$760,515","2019","$262,000.00","3,496","08/21/19","4","3/1","$217.54","1.00000"
"VALO405104","CLS","24830 Weaver Brook Ct","Aldie","20105","$833,820","2019","$184,800.00","5,328","08/02/19","4","3/1","$156.50","1.00000"
"VALO400286","CLS","24651 Lenah Crossing Dr","Aldie","20105","$969,958","2019","$209,600.00","4,280","07/30/19","4","4/1","$226.63","1.12377"
"VALO396548","CLS","24898 Deepdale Ct","Aldie","20105","$794,415","2019","$185,100.00","0","07/18/19","5","3/2","","1.00000"
"VALO393438","CLS","6001 Lenah Crossing Drive","Aldie","20105","$806,408","2019","$9,000.00","4,000","06/27/19","4","3","$201.60","1.00000"
"VALO388276","CLS","41036 Blue Larkspur Ct","Aldie","20105","$1,216,306","2017","$1,260,210.00","5,180","06/25/19","4","5/1","$234.81","1.00000"
"VALO387620","CLS","23215 Lunar Harvest Ln","Aldie","20105","$1,320,636","2019","$1,009,990.00","0","06/14/19","7","7/1","","1.00000"
"VALO384018","CLS","25940 Cameron Walk Way","Aldie","20105","$979,012","2019","$979,012.00","4,900","05/14/19","5","3/1","$199.80","1.00000"
"VALO398512","CLS","41232 Lenah Point Dr","Aldie","20105","$807,330","2019","$638,720.00","3,589","04/18/19","4","4","$224.95","1.00000"
"VALO380510","CLS","25943 Cullen","Aldie","20105","$898,346","2019","$0.00","0","03/26/19","5","4/1","","1.00000"
"VALO355162","CLS","25924 Cameron Walk Pl","Aldie","20105","$1,107,564","2019","$771,000.00","4,800","03/07/19","5","5/1","$230.74","1.00000"
"VALO403820","CLS","24109 Coty Crest Ct","Aldie","20105","$776,000","2018","$764,210.00","4,068","02/27/19","5","4/1","$190.76","1.09297"
"VALO437104","CLS","24814 Lenah Crossing Dr","Aldie","20105","$909,895","2020","$827,370.00","4,471","12/11/20","4","5","$203.51","1.00000"
"VALO409454","CLS","40771 Yarrow Grove Pl","Aldie","20105","$972,685","2020","$0.00","5,200","04/27/20","5","4/1","$187.05","1.08614"
"VALO409354","CLS","24626 Lenah Crossing Dr","Aldie","20105","$864,798","2020","$209,400.00","4,087","04/01/20","4","4/1","$211.60","1.00000"
"VALO353948","CLS","41213 Lenah Point Dr","Aldie","20105","$808,397","2019","$190,300.00","0","02/22/19","5","4","","1.00000"
"VALO393452","CLS","40818 Yarrow Grove Pl","Aldie","20105","$822,885","2019","$185,900.00","0","08/22/19","5","4/1","","1.07048"
"VALO379152","CLS","40490 Aspen Highlands Ct","Aldie","20105","$779,000","2018","$185,300.00","0","07/20/19","5","3/0","","0.99930"
"VALO421154","CLS","40487 Aspen Highlands Ct","Aldie","20105","$977,000","2018","$778,520.00","4,088","12/03/20","6","4","$238.99","1.00722"
"VALO356650","CLS","23859 Grayhaven Pl","Aldie","20105","$799,900","2016","$716,680.00","3,580","06/07/19","5","4/1","$223.44","1.00000"
"VALO2010934","CLS","41254 Trumpet Honeysuckle Dr","Aldie","20105","$1,335,223","2021","$242,400.00","4,000","10/27/21","4","3/1","$333.81","1.00000"
"VALO413354","CLS","24113 Coty Crest Ct","Aldie","20105","$815,000","2018","$702,680.00","3,242","07/23/20","4","4/1","$251.39","1.03822"
"VALO409232","CLS","24907 Deepdale Court","Aldie","20105","$796,825","2020","$796,825.00","4,800","04/10/20","4","3/1","$166.01","1.00000"
"VALO380432","CLS","41466 Nicholson Meadows Pl","Aldie","20105","$899,990","2018","$0.00","3,274","04/30/19","5","5","$274.89","1.00000"
"VALO388190","CLS","41515 Great Smokey Dr","Aldie","20105","$715,000","2013","$631,920.00","3,269","07/23/19","7","4","$218.72","1.00000"
"VALO355692","CLS","41334 Shaha Ln","Aldie","20105","$830,000","2016","$757,980.00","3,776","06/26/19","4","4","$219.81","0.99402"
"VALO363788","CLS","25908 Cullen Run Pl","Aldie","20105","$777,899","2018","$229,500.00","3,604","03/27/19","4","2/1","$215.84","1.00000"
"VALO268532","CLS","23993 Colin Creek Ct","Aldie","20105","$849,000","2019","$849,000.00","3,400","01/28/19","4","4/0","$249.71","1.00000"
"VALO389138","CLS","24462 Moon Glade Ct","Aldie","20105","$775,000","2016","$674,260.00","3,076","08/15/19","6","4/1","$251.95","1.00000"
"VALO418452","CLS","24690 Salmon River Pl","Aldie","20105","$765,000","2015","$670,900.00","3,269","10/16/20","6","5","$234.02","0.99364"
"VALO434948","CLS","23976 Greenfall Dr","Aldie","20105","$855,209","2018","$715,460.00","2,574","06/10/21","4","2/1","$332.25","1.14031"
"VALO267828","CLS","24013 Tenbury Wells Pl","Aldie","20105","$849,000","2016","$775,220.00","4,526","04/22/19","5","4/1","$187.58","1.00000"
"VALO2001168","CLS","41547 Great Smokey Dr","Aldie","20105","$915,000","2013","$751,030.00","3,265","07/23/21","6","5","$280.25","1.01678"
"VALO379710","CLS","41530 Great Smokey Dr","Aldie","20105","$715,000","2014","$610,800.00","3,245","05/28/19","5","5/0","$220.34","1.02143"
"VALO2001786","CLS","41515 Great Smokey Dr","Aldie","20105","$898,000","2013","$759,540.00","3,269","08/04/21","6","4","$274.70","0.99789"
"VALO2001038","CLS","41556 Front Range Ln","Aldie","20105","$899,980","2013","$752,880.00","3,274","07/20/21","7","5","$274.89","1.00000"
"VALO354280","CLS","24815 Beardgrass Pl","Aldie","20105","$720,000","2017","$651,540.00","3,289","04/11/19","7","5","$218.91","0.99310"
"VALO2008364","CLS","41656 Truly Cir","Aldie","20105","$801,100","2015","$674,970.00","2,723","10/21/21","4","2/1","$294.20","1.00263"
"VALO414904","CLS","41688 Truly Cir","Aldie","20105","$750,000","2014","$573,970.00","2,723","08/07/20","4","3/1","$275.43","1.02881"
"VALO398494","CLS","41660 Truly Cir","Aldie","20105","$712,500","2014","$641,080.00","3,250","12/16/19","4","4/1","$219.23","1.03262"
"VALO390814","CLS","26073 Blackberry Knoll Ct","Aldie","20105","$715,000","2014","$624,310.00","3,300","08/30/19","5","4/0","$216.67","0.97015"
"VALO389764","CLS","42175 Warwick Farm Pl","Aldie","20105","$765,000","2015","$679,740.00","3,566","08/26/19","4","4/1","$214.53","1.00000"
"VALO407336","CLS","24602 Lenah Crossing Dr","Aldie","20105","$754,456","2019","$209,400.00","3,755","06/20/19","4","3/1","$200.92","1.00000"
"VALO367908","CLS","42254 Highbank Pl","Aldie","20105","$725,000","2015","$631,620.00","3,200","05/16/19","4","4/1","$226.56","1.00000"
